# x,y,<bush>,<cookie>,<shadow>,<visibility>
1762,1156,0,0,1,0
1762,1156,0,0,1,0
1762,1156,0,0,1,0
1763,1157,0,0,1,0
1763,1157,0,0,1,0
1763,1157,0,0,1,0
1763,1156,0,0,1,0
1764,1157,0,0,1,0
1764,1157,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1764,1156,0,0,1,0
1765,1156,0,0,1,0
1765,1156,0,0,1,0
1765,1155,0,0,1,0
1765,1154,0,0,1,0
1765,1154,0,0,1,0
1765,1153,0,0,1,0
1765,1153,0,0,1,0
1765,1152,0,0,1,0
1766,1153,0,0,1,0
1766,1152,0,0,1,0
1766,1152,0,0,1,0
1766,1152,0,0,1,0
1766,1152,0,0,1,0
1765,1152,0,0,1,0
1766,1152,0,0,1,0
1766,1153,0,0,1,0
1766,1152,0,0,1,0
1766,1152,0,0,1,0
1765,1152,0,0,1,0
1766,1152,0,0,1,0
1766,1152,0,0,1,0
1765,1152,0,0,1,0
1766,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1152,0,0,1,0
1766,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1152,0,0,1,0
1765,1151,0,0,1,0
1766,1151,0,0,1,0
1766,1151,0,0,1,0
1765,1151,0,0,1,0
1765,1151,0,0,1,0
1765,1151,0,0,1,0
1765,1150,0,0,1,0
1765,1150,0,0,1,0
1765,1150,0,0,1,0
1765,1150,0,0,1,0
1766,1149,0,0,1,0
1767,1148,0,0,1,0
1767,1147,0,0,1,0
1768,1147,0,0,1,0
1769,1148,0,0,1,0
1769,1148,0,0,1,0
1769,1148,0,0,1,0
1769,1148,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1149,0,0,1,0
1765,1149,0,0,1,0
1765,1150,0,0,1,0
1766,1150,0,0,1,0
1765,1150,0,0,1,0
1766,1149,0,0,1,0
1765,1149,0,0,1,0
1766,1149,0,0,1,0
1766,1149,0,0,1,0
1766,1148,0,0,1,0
1766,1148,0,0,1,0
1766,1148,0,0,1,0
1766,1147,0,0,1,0
1766,1148,0,0,1,0
1766,1147,0,0,1,0
1766,1147,0,0,1,0
1766,1147,0,0,1,0
1767,1147,0,0,1,0
1766,1147,0,0,1,0
1767,1148,0,0,1,0
1766,1147,0,0,1,0
1766,1147,0,0,1,0
1767,1147,0,0,1,0
1768,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1768,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1147,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1768,1146,0,0,1,0
1768,1146,0,0,1,0
1768,1146,0,0,1,0
1767,1145,0,0,1,0
1768,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1768,1147,0,0,1,0
1768,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1766,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1767,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1767,1146,0,0,1,0
1766,1145,0,0,1,0
1767,1146,0,0,1,0
1766,1146,0,0,1,0
1767,1147,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1145,0,0,1,0
1766,1146,0,0,1,0
1766,1147,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1766,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1766,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1768,1146,0,0,1,0
1767,1147,0,0,1,0
1767,1146,0,0,1,0
1767,1147,0,0,1,0
1766,1147,0,0,1,0
1767,1147,0,0,1,0
1768,1147,0,0,1,0
1767,1146,0,0,1,0
1768,1146,0,0,1,0
1768,1146,0,0,1,0
1769,1146,0,0,1,0
1769,1145,0,0,1,0
1769,1145,0,0,1,0
1770,1145,0,0,1,0
1770,1145,0,0,1,0
1771,1145,0,0,1,0
1770,1145,0,0,1,0
1771,1144,0,0,0,0
1770,1145,0,0,0,0
1771,1145,0,0,0,0
1771,1145,0,0,0,0
1771,1144,0,0,0,0
1771,1144,0,0,0,0
1772,1143,0,0,0,0
1773,1143,0,0,0,0
1773,1143,0,0,0,0
1772,1143,0,0,0,0
1771,1143,0,0,0,0
1771,1143,0,0,0,0
1771,1144,0,0,0,0
1771,1144,0,0,0,0
1771,1144,0,0,0,0
1772,1143,0,0,0,0
1771,1144,0,0,0,0
1771,1144,0,0,0,0
1771,1143,0,0,0,0
1771,1143,0,0,0,0
1771,1142,0,0,0,0
1772,1142,0,0,0,0
1772,1141,0,0,0,0
1772,1141,0,0,0,0
1772,1140,0,0,0,0
1772,1140,0,0,0,0
1773,1140,0,0,0,0
1773,1140,0,0,0,0
1772,1139,0,0,0,0
1772,1139,0,0,0,0
1772,1139,0,0,0,0
1772,1139,0,0,0,0
1772,1140,0,0,0,0
1772,1139,0,0,0,0
1772,1139,0,0,0,0
1772,1138,0,0,0,0
1773,1139,0,0,0,0
1772,1139,0,0,0,0
1772,1138,0,0,0,0
1773,1138,0,0,0,0
1773,1138,0,0,0,0
1773,1138,0,0,0,0
1773,1137,0,0,0,0
1774,1137,0,0,0,0
1774,1136,0,0,0,0
1774,1136,0,0,0,0
1775,1136,0,0,0,0
1775,1135,0,0,0,0
1775,1134,0,0,0,0
1775,1134,0,0,0,0
1776,1135,0,0,0,0
1775,1136,0,0,0,0
1775,1136,0,0,0,0
1775,1135,0,0,0,0
1776,1135,0,0,0,0
1776,1134,0,0,0,0
1776,1134,0,0,0,0
1777,1134,0,0,0,0
1778,1134,0,0,0,0
1778,1133,0,0,0,0
1779,1133,0,0,0,0
1779,1133,0,0,0,0
1780,1133,0,0,0,0
1781,1133,0,0,0,0
1782,1133,0,0,0,0
1782,1132,0,0,0,0
1783,1132,0,0,0,0
1783,1132,0,0,0,0
1784,1132,0,0,0,0
1783,1132,0,0,0,0
1783,1132,0,0,0,0
1783,1132,0,0,0,0
1783,1132,0,0,0,0
1784,1133,0,0,0,0
1784,1134,0,0,0,0
1785,1134,0,0,0,0
1786,1135,0,0,0,0
1787,1135,0,0,0,0
1786,1133,0,0,0,0
1785,1133,0,0,0,0
1786,1133,0,0,0,0
1785,1135,0,0,0,0
1786,1133,0,0,0,0
1786,1133,0,0,0,0
1785,1133,0,0,0,0
1786,1133,0,0,0,0
1786,1133,0,0,0,0
1786,1134,0,0,0,0
1786,1133,0,0,0,0
1787,1133,0,0,0,0
1787,1134,0,0,0,0
1788,1134,0,0,0,0
1788,1134,0,0,0,0
1788,1134,0,0,0,0
1788,1135,0,0,0,0
1788,1134,0,0,0,0
1788,1134,0,0,0,0
1787,1134,0,0,0,0
1788,1134,0,0,0,0
1788,1134,0,0,0,0
1787,1135,0,0,0,0
1786,1136,0,0,0,0
1786,1136,0,0,0,0
1786,1136,0,0,0,0
1785,1135,0,0,0,0
1785,1135,0,0,0,0
1785,1134,0,0,0,0
1786,1133,0,0,0,0
1786,1133,0,0,0,0
1787,1134,0,0,0,0
1788,1135,0,0,0,0
1788,1135,0,0,0,0
1788,1135,0,0,0,0
1789,1135,0,0,0,0
1788,1135,0,0,0,0
1787,1135,0,0,0,0
1788,1135,0,0,0,0
1788,1135,0,0,0,0
1788,1135,0,0,0,0
1787,1135,0,0,0,0
1787,1135,0,0,0,0
1788,1136,0,0,0,0
1788,1136,0,0,0,0
1787,1136,0,0,0,0
1787,1137,0,0,0,0
1787,1137,0,0,0,0
1787,1137,0,0,0,0
1788,1137,0,0,0,0
1788,1137,0,0,0,0
1788,1138,0,0,0,0
1788,1138,0,0,0,0
1787,1139,0,0,0,0
1787,1138,0,0,0,0
1787,1138,0,0,0,0
1788,1138,0,0,0,0
1788,1138,0,0,0,0
1788,1138,0,0,0,0
1788,1138,0,0,0,0
1788,1138,0,0,0,0
1787,1137,0,0,0,0
1787,1138,0,0,0,0
1787,1138,0,0,0,0
1786,1137,0,0,0,0
1787,1138,0,0,0,0
1788,1139,0,0,0,0
1789,1140,0,0,0,0
1789,1140,0,0,0,0
1789,1140,0,0,0,0
1790,1140,0,0,0,0
1789,1141,0,0,0,0
1790,1141,0,0,0,0
1790,1141,0,0,0,0
1790,1141,0,0,0,0
1789,1141,0,0,0,0
1789,1141,0,0,0,0
1790,1141,0,0,0,0
1790,1141,0,0,0,0
1790,1141,0,0,0,0
1789,1141,0,0,0,0
1789,1141,0,0,0,0
1789,1141,0,0,1,0
1789,1141,0,0,1,0
1790,1141,0,0,1,0
1790,1142,0,0,1,0
1790,1142,0,0,1,0
1790,1141,0,0,1,0
1790,1142,0,0,1,0
1790,1142,0,0,1,0
1790,1141,0,0,1,0
1790,1141,0,0,1,0
1790,1141,0,0,1,0
1790,1141,0,0,1,0
1790,1141,0,0,1,0
1790,1141,0,0,1,0
1792,1141,0,0,1,0
1793,1141,0,0,1,0
1793,1143,0,0,1,0
1794,1143,0,0,1,0
1794,1144,0,0,1,0
1794,1143,0,0,1,0
1794,1141,0,0,1,0
1794,1141,0,0,1,0
1794,1141,0,0,1,0
1794,1141,0,0,1,0
1794,1141,0,0,1,0
1794,1141,0,0,1,0
1795,1141,0,0,1,0
1796,1140,0,0,0,0
1796,1141,0,0,0,0
1796,1141,0,0,0,0
1797,1141,0,0,0,0
1798,1141,0,0,0,0
1798,1141,0,0,0,0
1798,1141,0,0,1,0
1798,1141,0,0,1,0
1799,1141,0,0,1,0
1800,1141,0,0,1,0
1800,1141,0,0,1,0
1801,1141,0,0,1,0
1801,1141,0,0,1,0
1801,1141,0,0,1,0
1801,1141,0,0,1,0
1801,1141,0,0,1,0
1801,1140,0,0,1,0
1802,1141,0,0,1,0
1803,1141,0,0,1,0
1804,1141,0,0,1,0
1804,1141,0,0,1,0
1804,1141,0,0,1,0
1805,1141,0,0,1,0
1805,1141,0,0,1,0
1806,1141,0,0,1,0
1807,1142,0,0,1,0
1807,1142,0,0,1,0
1807,1142,0,0,1,0
1807,1142,0,0,1,0
1807,1142,0,0,1,0
1807,1142,0,0,1,0
1806,1142,0,0,1,0
1806,1142,0,0,1,0
1806,1142,0,0,1,0
1806,1142,0,0,1,0
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1806,1142,0,0,1,0
1807,1143,0,0,1,0
